Station1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Station2,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Station3,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Station4,Var26,Var27,Var28,Var29,Var30,Var31
7,0.7,1.016,NaN,NaN,0,0,NaN,7,0.7,70,149.375,154.625,5.25,0.9854431825,NaN,7,0.7,-0.3556,,,0,0,NaN,7,0.7,-0.3556,,,0,0
8,0.8,0.9652,NaN,NaN,0,0,NaN,8,0.8,80,149.375,154.625,5.25,0.9854431825,NaN,8,0.8,-0.4064,,,0,0,NaN,8,0.8,-0.4064,,,0,0
9,0.9,0.9144,NaN,NaN,0,0,NaN,9,0.9,90,149.375,154.65625,5.28125,0.9883716977,NaN,9,0.9,-0.4572,,,0,0,NaN,9,0.9,-0.4572,,,0,0
10,1,0.8636,NaN,NaN,0,0,NaN,10,1,100,149.375,154.65625,5.28125,0.9883716977,NaN,10,1,-0.508,,,0,0,NaN,10,1,-0.508,,,0,0
11,1.1,0.8128,NaN,NaN,0,0,NaN,11,1.1,-0.5588,NaN,NaN,0,0,NaN,11,1.1,-0.5588,,,0,0,NaN,11,1.1,-0.5588,,,0,0
12,1.2,0.762,NaN,NaN,0,0,NaN,12,1.2,-0.6096,NaN,NaN,0,0,NaN,12,1.2,-0.6096,,,0,0,NaN,12,1.2,-0.6096,,,0,0
13,1.3,0.7112,NaN,NaN,0,0,NaN,13,1.3,-0.6604,NaN,NaN,0,0,NaN,13,1.3,-0.6604,,,0,0,NaN,13,1.3,-0.6604,,,0,0
14,1.4,0.6604,NaN,NaN,0,0,NaN,14,1.4,-0.7112,NaN,NaN,0,0,NaN,14,1.4,-0.7112,,,0,0,NaN,14,1.4,-0.7112,,,0,0
15,1.5,0.6096,NaN,NaN,0,0,NaN,15,1.5,-0.762,NaN,NaN,0,0,NaN,15,1.5,-0.762,,,0,0,NaN,15,1.5,-0.762,,,0,0
16,1.6,0.5588,NaN,NaN,0,0,NaN,16,1.6,-0.8128,NaN,NaN,0,0,NaN,16,1.6,-0.8128,,,0,0,NaN,16,1.6,-0.8128,,,0,0
17,1.7,0.508,NaN,NaN,0,0,NaN,17,1.7,-0.8636,NaN,NaN,0,0,NaN,17,1.7,-0.8636,,,0,0,NaN,17,1.7,-0.8636,,,0,0
18,1.8,0.4572,NaN,NaN,0,0,NaN,18,1.8,-0.9144,NaN,NaN,0,0,NaN,18,1.8,-0.9144,,,0,0,NaN,18,1.8,-0.9144,,,0,0
19,1.9,0.4064,NaN,NaN,0,0,NaN,19,1.9,-0.9652,NaN,NaN,0,0,NaN,19,1.9,-0.9652,,,0,0,NaN,19,1.9,-0.9652,,,0,0
20,2,0.3556,NaN,NaN,0,0,NaN,20,2,-1.016,NaN,NaN,0,0,NaN,20,2,-1.016,,,0,0,NaN,20,2,-1.016,,,0,0
21,2.1,0.3048,NaN,NaN,0,0,NaN,21,2.1,-1.0668,NaN,NaN,0,0,NaN,21,2.1,-1.0668,,,0,0,NaN,21,2.1,-1.0668,,,0,0
22,2.2,0.254,NaN,NaN,0,0,NaN,22,2.2,-1.1176,NaN,NaN,0,0,NaN,22,2.2,-1.1176,,,0,0,NaN,22,2.2,-1.1176,,,0,0
23,2.3,0.2032,NaN,NaN,0,0,NaN,23,2.3,-1.1684,NaN,NaN,0,0,NaN,23,2.3,-1.1684,,,0,0,NaN,23,2.3,-1.1684,,,0,0
24,2.4,0.1524,NaN,NaN,0,0,NaN,24,2.4,-1.2192,NaN,NaN,0,0,NaN,24,2.4,-1.2192,,,0,0,NaN,24,2.4,-1.2192,,,0,0
25,2.5,0.1016,NaN,NaN,0,0,NaN,25,2.5,-1.27,NaN,NaN,0,0,NaN,25,2.5,-1.27,,,0,0,NaN,25,2.5,-1.27,,,0,0
26,2.6,0.0508,NaN,NaN,0,0,NaN,26,2.6,-1.3208,NaN,NaN,0,0,NaN,26,2.6,-1.3208,,,0,0,NaN,26,2.6,-1.3208,,,0,0
27,2.7,0,NaN,NaN,0,0,NaN,27,2.7,-1.3716,NaN,NaN,0,0,NaN,27,2.7,-1.3716,,,0,0,NaN,27,2.7,-1.3716,,,0,0
28,2.8,-0.0508,NaN,NaN,0,0,NaN,28,2.8,-1.4224,NaN,NaN,0,0,NaN,28,2.8,-1.4224,,,0,0,NaN,28,2.8,-1.4224,,,0,0
29,2.9,-0.1016,NaN,NaN,0,0,NaN,29,2.9,-1.4732,NaN,NaN,0,0,NaN,29,2.9,-1.4732,,,0,0,NaN,29,2.9,-1.4732,,,0,0
30,3,-0.1524,NaN,NaN,0,0,NaN,30,3,-1.524,NaN,NaN,0,0,NaN,30,3,-1.524,,,0,0,NaN,30,3,-1.524,,,0,0
31,3.1,-0.2032,NaN,NaN,0,0,NaN,31,3.1,-1.5748,NaN,NaN,0,0,NaN,31,3.1,-1.5748,,,0,0,NaN,31,3.1,-1.5748,,,0,0
32,3.2,-0.254,NaN,NaN,0,0,NaN,32,3.2,-1.6256,NaN,NaN,0,0,NaN,32,3.2,-1.6256,,,0,0,NaN,32,3.2,-1.6256,,,0,0
33,3.3,-0.3048,NaN,NaN,0,0,NaN,33,3.3,-1.6764,NaN,NaN,0,0,NaN,33,3.3,-1.6764,,,0,0,NaN,33,3.3,-1.6764,,,0,0
34,3.4,-0.3556,NaN,NaN,0,0,NaN,34,3.4,-1.7272,NaN,NaN,0,0,NaN,34,3.4,-1.7272,,,0,0,NaN,34,3.4,-1.7272,,,0,0
35,3.5,-0.4064,NaN,NaN,0,0,NaN,35,3.5,-1.778,NaN,NaN,0,0,NaN,35,3.5,-1.778,,,0,0,NaN,35,3.5,-1.778,,,0,0
36,3.6,-0.4572,NaN,NaN,0,0,NaN,36,3.6,-1.8288,NaN,NaN,0,0,NaN,36,3.6,-1.8288,,,0,0,NaN,36,3.6,-1.8288,,,0,0
37,3.7,-0.508,NaN,NaN,0,0,NaN,37,3.7,-1.8796,NaN,NaN,0,0,NaN,37,3.7,-1.8796,,,0,0,NaN,37,3.7,-1.8796,,,0,0
38,3.8,-0.5588,NaN,NaN,0,0,NaN,38,3.8,-1.9304,NaN,NaN,0,0,NaN,38,3.8,-1.9304,,,0,0,NaN,38,3.8,-1.9304,,,0,0
39,3.9,-0.6096,NaN,NaN,0,0,NaN,39,3.9,-1.9812,NaN,NaN,0,0,NaN,39,3.9,-1.9812,,,0,0,NaN,39,3.9,-1.9812,,,0,0
40,4,-0.6604,NaN,NaN,0,0,NaN,40,4,-2.032,NaN,NaN,0,0,NaN,40,4,-2.032,,,0,0,NaN,40,4,-2.032,,,0,0
41,4.1,-0.7112,NaN,NaN,0,0,NaN,41,4.1,-2.0828,NaN,NaN,0,0,NaN,41,4.1,-2.0828,,,0,0,NaN,41,4.1,-2.0828,,,0,0
42,4.2,-0.762,NaN,NaN,0,0,NaN,42,4.2,-2.1336,NaN,NaN,0,0,NaN,42,4.2,-2.1336,,,0,0,NaN,42,4.2,-2.1336,,,0,0
43,4.3,-0.8128,NaN,NaN,0,0,NaN,43,4.3,-2.1844,NaN,NaN,0,0,NaN,43,4.3,-2.1844,,,0,0,NaN,43,4.3,-2.1844,,,0,0
44,4.4,-0.8636,NaN,NaN,0,0,NaN,44,4.4,-2.2352,NaN,NaN,0,0,NaN,44,4.4,-2.2352,,,0,0,NaN,44,4.4,-2.2352,,,0,0
45,4.5,-0.9144,NaN,NaN,0,0,NaN,45,4.5,-2.286,NaN,NaN,0,0,NaN,45,4.5,-2.286,,,0,0,NaN,45,4.5,-2.286,,,0,0
46,4.6,-0.9652,NaN,NaN,0,0,NaN,46,4.6,-2.3368,NaN,NaN,0,0,NaN,46,4.6,-2.3368,,,0,0,NaN,46,4.6,-2.3368,,,0,0
47,4.7,-1.016,NaN,NaN,0,0,NaN,47,4.7,-2.3876,NaN,NaN,0,0,NaN,47,4.7,-2.3876,,,0,0,NaN,47,4.7,-2.3876,,,0,0
48,4.8,-1.0668,NaN,NaN,0,0,NaN,48,4.8,-2.4384,NaN,NaN,0,0,NaN,48,4.8,-2.4384,,,0,0,NaN,48,4.8,-2.4384,,,0,0
49,4.9,-1.1176,NaN,NaN,0,0,NaN,49,4.9,-2.4892,NaN,NaN,0,0,NaN,49,4.9,-2.4892,,,0,0,NaN,49,4.9,-2.4892,,,0,0
50,5,-1.1684,NaN,NaN,0,0,NaN,50,5,-2.54,NaN,NaN,0,0,NaN,50,5,-2.54,,,0,0,NaN,50,5,-2.54,,,0,0
51,5.1,-1.2192,NaN,NaN,0,0,NaN,51,5.1,-2.5908,NaN,NaN,0,0,NaN,51,5.1,-2.5908,,,0,0,NaN,51,5.1,-2.5908,,,0,0
52,5.2,-1.27,NaN,NaN,0,0,NaN,52,5.2,-2.6416,NaN,NaN,0,0,NaN,52,5.2,-2.6416,,,0,0,NaN,52,5.2,-2.6416,,,0,0
53,5.3,-1.3208,NaN,NaN,0,0,NaN,53,5.3,-2.6924,NaN,NaN,0,0,NaN,53,5.3,-2.6924,,,0,0,NaN,53,5.3,-2.6924,,,0,0
54,5.4,-1.3716,NaN,NaN,0,0,NaN,54,5.4,-2.7432,NaN,NaN,0,0,NaN,54,5.4,-2.7432,,,0,0,NaN,54,5.4,-2.7432,,,0,0
55,5.5,-1.4224,NaN,NaN,0,0,NaN,55,5.5,-2.794,NaN,NaN,0,0,NaN,55,5.5,-2.794,,,0,0,NaN,55,5.5,-2.794,,,0,0
56,5.6,-1.4732,NaN,NaN,0,0,NaN,56,5.6,-2.8448,NaN,NaN,0,0,NaN,56,5.6,-2.8448,,,0,0,NaN,56,5.6,-2.8448,,,0,0
57,5.7,-1.524,NaN,NaN,0,0,NaN,57,5.7,-2.8956,NaN,NaN,0,0,NaN,57,5.7,-2.8956,,,0,0,NaN,57,5.7,-2.8956,,,0,0
58,5.8,-1.5748,NaN,NaN,0,0,NaN,58,5.8,-2.9464,NaN,NaN,0,0,NaN,58,5.8,-2.9464,,,0,0,NaN,58,5.8,-2.9464,,,0,0
59,5.9,-1.6256,NaN,NaN,0,0,NaN,59,5.9,-2.9972,NaN,NaN,0,0,NaN,59,5.9,-2.9972,,,0,0,NaN,59,5.9,-2.9972,,,0,0
60,6,-1.6764,NaN,NaN,0,0,NaN,60,6,-3.048,NaN,NaN,0,0,NaN,60,6,-3.048,,,0,0,NaN,60,6,-3.048,,,0,0
